STATION_NAME,LAT,LON,Annual,0
GEORGETOWN-AIRPORT,-18.3,143.53,33.96,259.6933333333333
GERALDTON-AIRPORT-COMPARISON,-28.8,114.7,27.12,250.28230769230765
GILES-METEOROLOGICAL-OFFICE,-25.03,128.3,31,258.4346153846153
GROVE-RESEARCH-STATION,-42.99,147.07,18.89,171.52589743589746
GUNNEDAH-RESOURCE-CENTRE,-31.03,150.27,26.17,222.3760256410257
HALLS-CREEK-AIRPORT,-18.23,127.66,35.63,264.8110256410256
HOBART-ELLERSLIE-ROAD,-42.89,147.33,19.19,171.52589743589746
HORN-ISLAND,-10.58,142.29,31.42,216.56935897435898
INVERELL-RAGLAN-ST,-29.78,151.11,25.14,225.3560256410257
JERVIS-BAY-POINT-PERPENDICULAR-AWS,-35.09,150.8,21.63,189.42051282051278
KALGOORLIE-BOULDER-AIRPORT,-30.78,121.45,27.14,241.76628205128196
KALUMBURU,-14.3,126.65,35.57,253.63692307692304
KATANNING-COMPARISON,-33.69,117.56,23.79,222.14538461538461
KERANG,-35.72,143.92,24.72,217.55320512820515
KYANCUTTA,-33.13,135.56,26.79,219.5358974358975
LARAPUNA-EDDYSTONE-POINT,-40.99,148.35,19.07,180.59461538461534
LAUNCESTON-AIRPORT,-41.55,147.21,19.29,178.14512820512815
LAVERTON-RAAF,-37.86,144.76,21.61,189.6128205128205
LEARMONTH-AIRPORT,-22.24,114.1,32.93,270.81307692307695
LONGREACH-AERO,-23.44,144.28,33.27,259.08641025641026
LOW-HEAD,-41.06,146.79,17.83,175.65153846153848
MACKAY-M.O,-21.12,149.22,27.65,232.23512820512815
MARBLE-BAR,-21.18,119.75,36.67,269.565512820513
MARREE,-29.65,138.06,30.52,253.79653846153846
MEEKATHARRA-AIRPORT,-26.61,118.54,30.94,262.43551282051277
MELBOURNE-REGIONAL-OFFICE,-37.81,144.97,22.14,189.6128205128205
MERREDIN,-31.48,118.28,27.02,239.7682051282051
MILDURA-AIRPORT,-34.24,142.09,25.66,221.93602564102554
MILES-CONSTANCE-STREET,-26.66,150.18,28.59,236.0108974358975
MORAWA-AIRPORT,-29.2,116.02,29.15,249.73423076923078
MOREE-AERO,-29.49,149.85,27.66,236.475
MORUYA-HEADS-PILOT-STATION,-35.91,150.15,21.79,189.42051282051278
MOUNT-GAMBIER-AERO,-37.75,140.77,20.6,189.61551282051283
NHILL-AERODROME,-36.31,141.65,24.06,205.12089743589743
NORMANTON-AIRPORT,-17.69,141.07,34.69,257.7276923076922
NORTH-SHIELDS-PORT-LINCOLN-AWS,-34.6,135.88,22.09,207.30730769230766
NOWRA-RAN-AIR-STATION-AWS,-34.95,150.54,23.37,190.84615384615384
NURIOOTPA-VITICULTURAL,-34.48,139.01,22.58,215.2258974358975
OODNADATTA-AIRPORT,-27.56,135.45,31.77,256.23935897435894
ORBOST,-37.69,148.47,21.28,180.83910256410257
PALMERVILLE,-16,144.08,34.03,241.68166666666664
PERTH-AIRPORT,-31.93,115.98,26.33,235.517435897436
PORT-HEDLAND-AIRPORT,-20.37,118.63,34.66,266.47871794871804
PORT-MACQUARIE-AIRPORT-AWS,-31.43,152.87,24.92,199.05820512820512
RABBIT-FLAT,-20.18,130.01,35.22,267.73141025641024
